source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other3,other1_def,other2_def,other3_def,geometry_ref
3165429,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,,,,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,,,,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,,,,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,,,,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,,,,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,,,,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,,,,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,,,,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,,,,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,,,,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,,,,trace_-46.9604_-19.5632
3165495,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,,,,trace_-56.106298_-9.866389
3165523,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,,,,trace_-59.457469_-10.187375
3165617,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Araçatuba Airport,international,-21.141479,-50.424575,,,,,,,trace_-50.424575_-21.141479
3165617,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Araçatuba Airport,international,-21.141479,-50.424575,,,,,,,trace_-50.424575_-21.141479
3165617,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Araçatuba Airport,international,-21.141479,-50.424575,,,,,,,trace_-50.424575_-21.141479
3165617,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Araçatuba Airport,international,-21.141479,-50.424575,,,,,,,trace_-50.424575_-21.141479
